condition,type,response,ppn,response_size,RT_mean,RT_std
c,lm,m,25,42,0.7859607461092916,0.15335621458997795
c,lm,m,26,57,0.8614975368595001,0.11076037071362176
c,lm,m,27,60,0.7247497639427214,0.18887349012422616
c,lm,m,28,53,0.625351509434898,0.16177396241585715
c,lm,n,01,4,,
c,lm,n,02,2,,
c,lm,n,05,5,,
c,lm,n,07,2,,
c,lm,n,11,6,,
c,lm,n,15,2,,
c,lm,n,17,2,,
c,lm,n,20,5,,
c,lm,n,23,1,,
c,lm,n,25,3,,
c,lm,n,27,3,,
c,lm,n,28,2,,
c,mh,h,01,45,0.8020716378818482,0.1915797205022246
c,mh,h,02,60,0.5469455182391508,0.15000326717069434
c,mh,h,03,55,0.6533794801787736,0.16208716964341877
c,mh,h,04,52,0.3765979196747192,0.15899209932747418
c,mh,h,05,39,0.6802307074558485,0.2279720589350317
c,mh,h,07,38,0.6720729791999606,0.13864057464585347
c,mh,h,08,42,0.5667570578768955,0.1538247699303411
c,mh,h,09,53,0.43288085996480835,0.0733863211600731
c,mh,h,10,49,0.310745678610425,0.10580780539577649
c,mh,h,11,49,0.8300787430505305,0.18834939329155834
c,mh,h,12,52,0.5645733536101454,0.1363773015899853
c,mh,h,13,47,0.6872129126321214,0.12046780104947905
c,mh,h,14,53,0.5477776945105499,0.1698961877648807
c,mh,h,15,60,0.6780403647860415,0.24516281943117976
c,mh,h,16,51,0.5895642755411459,0.11347440230875441
c,mh,h,17,56,0.521268642488719,0.1677602518160701
c,mh,h,18,47,0.5486184112016146,0.20956933080073126
c,mh,h,19,56,0.6500081254521319,0.16858970530635062
c,mh,h,20,41,0.7079191241579914,0.18368243857283403
c,mh,h,21,47,0.4868089529352298,0.1984724116270581
c,mh,h,22,50,0.33961204161423664,0.06077462381405568
c,mh,h,23,47,0.6919722434139793,0.15272620133631928
c,mh,h,24,44,0.5320621463410631,0.12599049192609582
c,mh,h,25,41,0.7806103358111947,0.1294756989973894
c,mh,h,26,53,0.8406280308376635,0.1343816357615242
c,mh,h,27,55,0.7278208783023398,0.19949312674497202
c,mh,h,28,60,0.6196168504330368,0.16254698916313673
c,mh,m,01,53,0.8104561516368294,0.18289690505581166
c,mh,m,02,39,0.5508812218368127,0.1437732470572312
c,mh,m,03,45,0.6624682343892749,0.1531921225466715
c,mh,m,04,47,0.3716858671063203,0.17934006947571013
c,mh,m,05,59,0.6912746165726276,0.19819216610917909
c,mh,m,07,62,0.6987409290877402,0.15326637622711237
c,mh,m,08,57,0.5862307983120046,0.19121274964448468
c,mh,m,09,47,0.45494485259320194,0.10166299214405405
c,mh,m,10,51,0.2924115610095018,0.11549131692519898
c,mh,m,11,48,0.8004042280976099,0.18975393650394554
c,mh,m,12,48,0.6287572816741734,0.15190728462126316
c,mh,m,13,51,0.7099493089673142,0.1308148094152365
c,mh,m,14,47,0.49021220926380843,0.15756971278832135
c,mh,m,15,40,0.6672469811742531,0.248633745844492
c,mh,m,16,49,0.6091468162828407,0.15999248016928677
c,mh,m,17,44,0.548050124897269,0.21279845378000908
c,mh,m,18,53,0.5454385647902217,0.21285064649415175
c,mh,m,19,44,0.6538207252517829,0.14155096267241135
c,mh,m,20,57,0.7190964219179948,0.19246850989712175
c,mh,m,21,53,0.45112741537240303,0.1559717572308592
c,mh,m,22,50,0.3418257404905307,0.07051757467104161
c,mh,m,23,52,0.704623493496351,0.13814261986597118
c,mh,m,24,55,0.5557894744211808,0.1380788398009554
c,mh,m,25,58,0.7638272213536829,0.1349992661929228
c,mh,m,26,45,0.8476010185665169,0.1287431212015542
c,mh,m,27,45,0.7001389998347602,0.16757725532639478
c,mh,m,28,40,0.5863331558222853,0.13804384538452386
c,mh,n,01,2,,
c,mh,n,02,1,,
c,mh,n,04,1,,
c,mh,n,05,2,,
c,mh,n,08,1,,
c,mh,n,11,3,,
c,mh,n,13,2,,
c,mh,n,20,2,,
c,mh,n,23,1,,
c,mh,n,24,1,,
c,mh,n,25,1,,
c,mh,n,26,2,,
lr,h,0,01,1,0.6327041341723998,
lr,h,0,02,3,0.4185850076510178,0.23891211849601204
lr,h,0,03,5,0.2737290315955761,0.024425770351034517
lr,h,0,04,9,0.2992933093943672,0.1701547294907694
lr,h,0,05,18,0.24343908741169193,0.09017094070811704
lr,h,0,07,9,0.26219599633122925,0.05637695462813198
lr,h,0,08,17,0.4947166327935573,0.11331257725383831
lr,h,0,09,7,0.3199109619617957,0.049400257971093556
lr,h,0,10,6,0.44790437929532345,0.0845157593027815
lr,h,0,11,5,0.5563954156088584,0.14822545662135136
lr,h,0,12,6,0.5980341992205164,0.27413713557245023
lr,h,0,13,7,0.38028740454488535,0.112669654055478
lr,h,0,14,11,0.36526883676304517,0.11186228714915611
lr,h,0,15,8,0.42064849933717596,0.1980961511786314
lr,h,0,16,5,0.40172617059797633,0.1255792980461869
lr,h,0,17,4,0.35370869514554215,0.2580051863832325
lr,h,0,18,4,0.3315171136555364,0.06367400597710698
lr,h,0,19,7,0.4491417931806479,0.16064938966273123
lr,h,0,20,19,0.3011211852239955,0.12374880526362002
lr,h,0,21,9,0.3360320602136603,0.07151110117048085
lr,h,0,22,8,0.2677818002744061,0.10572528014302882
lr,h,0,23,2,0.43138612018992717,0.10155698338631976
lr,h,0,24,8,0.6600715004788071,0.15507776106591867
lr,h,0,25,4,0.41054316046938766,0.26870355264070866
lr,h,0,26,5,0.4530648266339995,0.19541550033961808
lr,h,0,27,5,0.37267179735645184,0.09690331632740987
lr,h,0,28,22,0.21707916424665283,0.04682679778687542
lr,h,1,01,97,0.3920522160736808,0.08691893004462026
lr,h,1,03,95,0.31592527075253635,0.06939753220773723
lr,h,1,07,90,0.25189599653447964,0.05843841928399403
lr,h,1,09,93,0.3332393522491608,0.06542456711264591
lr,h,1,13,92,0.3499052804640156,0.09285746044814473
lr,h,1,15,92,0.35930237564800493,0.09846704276127165
lr,h,1,18,96,0.37260350992509456,0.08626275419241322
lr,h,1,19,93,0.3935591446520399,0.10907134775842255
lr,h,1,21,91,0.3563367634325894,0.10758050015759206
lr,h,1,26,95,0.37063314881551807,0.08040186574735662
lr,h,1,28,76,0.24747918207676298,0.08064870825085024
lr,h,3,02,97,0.38483061485818587,0.1442727436481883
lr,h,3,05,79,0.3017300838254287,0.10409648017977546
lr,h,3,08,83,0.4061592980455075,0.10687123467823273
lr,h,3,11,95,0.4784371140138127,0.12105805065111445
lr,h,3,14,88,0.34052251738816347,0.09143487230645417
lr,h,3,17,94,0.3768331988740101,0.10638771358370623
lr,h,3,20,79,0.3185757531298379,0.07858380279317352
lr,h,3,23,98,0.370750144475393,0.08832572094880156
lr,h,3,24,92,0.4968429121581721,0.08569726765043555
lr,h,5,04,91,0.26592419511105836,0.07105231828159903
lr,h,5,10,94,0.397483674216559,0.09616170476151015
lr,h,5,12,92,0.4742875569853546,0.12695678267718308
lr,h,5,16,94,0.40065732503953383,0.13141939668609695
lr,h,5,22,92,0.3841686115851901,0.15710052000673816
lr,h,5,25,96,0.4365627919966452,0.10756440819350188
lr,h,5,27,95,0.3830092622212281,0.1006401341026546
lr,h,n,01,2,,
lr,h,n,05,3,,
lr,h,n,07,1,,
lr,h,n,12,2,,
lr,h,n,13,1,,
lr,h,n,14,1,,
lr,h,n,16,1,,
lr,h,n,17,2,,
lr,h,n,20,2,,
lr,h,n,28,2,,
lr,l,0,01,1,0.5425508230168816,
lr,l,0,02,5,0.5253932548223019,0.21606024201660753
lr,l,0,03,4,0.3306331984899771,0.1306895261871066
lr,l,0,04,5,0.23206567453380558,0.05263320388446437
lr,l,0,05,15,0.27297375734766927,0.09798121543278374
lr,l,0,07,6,0.25255777824766784,0.03126856039390613
lr,l,0,08,9,0.41620573708132724,0.06932551341157897
lr,l,0,09,5,0.40238143893002415,0.06370569795379448
lr,l,0,10,1,0.4228239463045611,
lr,l,0,11,6,0.6470962378674964,0.08974535017558424
lr,l,0,12,1,0.6766311025385221,
lr,l,0,13,4,0.31524468038344367,0.016205165537707653
lr,l,0,14,4,0.3902366041968435,0.09017695579254989
lr,l,0,15,6,0.3916776728434949,0.20003039324400348
lr,l,0,16,8,0.4311390406546707,0.12695141353211167
lr,l,0,17,6,0.2475592852703509,0.10722084687481749
lr,l,0,18,5,0.3787887099562795,0.10642535329985016
lr,l,0,19,2,0.656801207755052,0.13311969552793562
lr,l,0,20,8,0.3171924874646379,0.10627283450255325
lr,l,0,21,11,0.3882667344040039,0.19642186498379505
lr,l,0,23,1,0.40104966332000913,
lr,l,0,24,4,0.7101220750046195,0.15227249122315328
lr,l,0,25,10,0.4167506100027822,0.09432244655073295
lr,l,0,26,4,0.4330053083049279,0.16817451137803308
lr,l,0,27,2,0.2743219053008943,0.03183011507802266
lr,l,0,28,15,0.220492665937248,0.07747469587240506
lr,l,1,05,80,0.3298392703043532,0.14672537263797886
lr,l,1,11,94,0.45561067004909805,0.1300893725253807
lr,l,1,12,97,0.47165105051366124,0.14778395970987504
lr,l,1,17,93,0.3518802602636917,0.09519604967786308
lr,l,1,23,99,0.34804025614750866,0.09646936983963539
lr,l,1,24,95,0.4862581348340762,0.09616979183780437
lr,l,1,25,89,0.4123105996921449,0.10218534862268207
lr,l,3,03,96,0.3002998360168287,0.09242164179761635
lr,l,3,04,95,0.24744259717041897,0.06629501023555336
lr,l,3,09,95,0.31593898075811205,0.06652536540833198
lr,l,3,10,99,0.3814720763765386,0.06692309558248326
lr,l,3,15,94,0.3599032790610936,0.0892257431140894
lr,l,3,16,91,0.3800002868885293,0.10202344442967234
lr,l,3,21,89,0.3349989732541667,0.08638062739991326
lr,l,3,22,99,0.35110721482803886,0.1455338834591583
lr,l,3,27,97,0.348180887074967,0.0936747177903091
lr,l,3,28,84,0.23465279092245814,0.08138238953411867
lr,l,5,01,99,0.37523083873031854,0.10516927753111796
lr,l,5,02,95,0.3517377205954338,0.105702237943685
lr,l,5,07,94,0.25849216387719703,0.08408346523297412
lr,l,5,08,90,0.409706024858052,0.0912307781094966
lr,l,5,13,95,0.32973456466537465,0.06826115015637006
lr,l,5,14,95,0.31879621435572947,0.0814059275660467
lr,l,5,18,95,0.3774151681293963,0.0834680378158055
lr,l,5,19,98,0.3689474944985333,0.10492340735137044
lr,l,5,20,92,0.3289262960774186,0.10805127360428289
lr,l,5,26,96,0.382503476955056,0.11539479719849638
lr,l,n,05,5,,
lr,l,n,08,1,,
lr,l,n,12,2,,
lr,l,n,13,1,,
lr,l,n,14,1,,
lr,l,n,16,1,,
lr,l,n,17,1,,
lr,l,n,22,1,,
lr,l,n,24,1,,
lr,l,n,25,1,,
lr,l,n,27,1,,
lr,l,n,28,1,,
lr,m,0,01,1,0.5349962626596607,
lr,m,0,02,6,0.4562916708105149,0.26082986297091926
lr,m,0,03,6,0.38291388504785573,0.09732024794588666
lr,m,0,04,8,0.24819468816463086,0.10797574844844932
lr,m,0,05,17,0.23568389177077786,0.1287883286465318
lr,m,0,07,9,0.24160862206458156,0.02887056736554141
lr,m,0,08,6,0.4106032215114889,0.07272332212077366
lr,m,0,09,8,0.35096469866630287,0.06668798650122257
lr,m,0,10,2,0.4681415094555632,0.1609525493986414
lr,m,0,11,1,0.688149183269843,
lr,m,0,12,4,0.8211753324958408,0.09491395880776597
lr,m,0,13,3,0.3150417464794373,0.15350258239277026
lr,m,0,14,8,0.31052616636338826,0.09893656460634959
lr,m,0,15,3,0.28238925091439643,0.10411029699106686
lr,m,0,16,7,0.42664295116056955,0.1992565807307496
lr,m,0,17,4,0.3932525083519067,0.1636867669235462
lr,m,0,18,5,0.30147373162180885,0.08241093710337904
lr,m,0,19,1,0.6087680278615153,
lr,m,0,20,13,0.3283663763246085,0.1264080359598433
lr,m,0,21,4,0.41210930357055986,0.07884550621540633
lr,m,0,22,3,0.23188769372427487,0.02055903196801493
lr,m,0,24,3,0.49246841110289097,0.245485418635994
lr,m,0,25,5,0.41722254267078823,0.2100130758282962
lr,m,0,26,4,0.3073477050334077,0.056831722685167584
lr,m,0,27,1,0.2953172568959417,
lr,m,0,28,24,0.22151629352022914,0.08572703239509848
lr,m,1,02,94,0.3605131954290436,0.11382262232838393
lr,m,1,04,92,0.2552070447505665,0.0786664800376202
lr,m,1,08,94,0.4198489751858707,0.11736572677411915
lr,m,1,10,98,0.37104976557263714,0.0718835310792768
lr,m,1,14,92,0.3202572371955403,0.09543082170898975
lr,m,1,16,93,0.38742639637039444,0.11931880126377259
lr,m,1,20,87,0.30857992755264424,0.09304617206053148
lr,m,1,22,95,0.3284901330667229,0.12491646271285022
lr,m,1,27,98,0.33785916620028583,0.07976065422084107
lr,m,3,01,99,0.36880703324456104,0.10397350204010976
lr,m,3,07,91,0.24392973751608743,0.06026340807790741
lr,m,3,12,96,0.4583407084413314,0.14452172056912863
lr,m,3,13,97,0.32542832925673326,0.06322679668654897
lr,m,3,18,95,0.3543710324302083,0.07462244744920815
lr,m,3,19,99,0.3756990057645269,0.13282734085420272
lr,m,3,25,94,0.4271316105661483,0.11189588243765618
lr,m,3,26,96,0.36954030688205347,0.07890265417271927
lr,m,5,03,94,0.3014647091116824,0.06419838741057907
lr,m,5,05,79,0.318956094057607,0.11071505862537348
lr,m,5,09,90,0.319784397056416,0.05934889632589072
lr,m,5,11,99,0.45838336631860016,0.12877512125926743
lr,m,5,15,97,0.3449400699644628,0.07848111974796758
lr,m,5,17,93,0.367600697767068,0.11231021130949374
lr,m,5,21,95,0.35976397095841284,0.14560624097547673
lr,m,5,23,100,0.3592528623534236,0.08759508731075832
lr,m,5,24,97,0.5153171189297975,0.10199349854306432
lr,m,5,28,74,0.24237091392982668,0.07455446735541799
lr,m,n,05,4,,
lr,m,n,09,2,,
lr,m,n,17,3,,
lr,m,n,21,1,,
lr,m,n,22,2,,
lr,m,n,25,1,,
lr,m,n,27,1,,
lr,m,n,28,2,,
t,lh,h,01,63,0.8287517191537128,0.18944906155562857
t,lh,h,02,51,0.3362498552460416,0.13406443752112018
t,lh,h,03,47,0.6488730746518837,0.12647773356724956
t,lh,h,04,64,0.6395602088739807,0.1510572059512061
t,lh,h,05,43,0.659447264557034,0.20971881603713297
t,lh,h,07,38,0.5309524369519606,0.12950995818626457
t,lh,h,08,45,0.45014199571911984,0.13356551791842322
t,lh,h,09,58,0.512266586520817,0.11619481465159696
t,lh,h,10,41,0.8044015487961942,0.13326340204132808
t,lh,h,11,49,0.6415681139518321,0.1654525157450373
t,lh,h,12,47,0.674784920239735,0.08969193384511742
t,lh,h,13,55,0.5881715516477098,0.12290537611407105
t,lh,h,14,52,0.7497762222014024,0.20172624877244114
t,lh,h,15,63,0.610226194482421,0.1061941141297014
t,lh,h,16,59,0.572831559872935,0.12062545650692338
t,lh,h,17,61,0.6300331223283138,0.1833652754148541
t,lh,h,18,47,0.7049118715337326,0.24473512195900407
t,lh,h,19,48,0.7634238398231142,0.1560287314415793
t,lh,h,20,46,0.7617032940899623,0.14415700167224058
t,lh,h,21,49,0.5800931189267579,0.14360951868938288
t,lh,h,22,39,0.35319532113079244,0.06608356560387348
t,lh,h,23,50,0.7253252641001018,0.13143935851934463
t,lh,h,24,34,0.6624568279940457,0.09619185696837357
t,lh,h,25,32,0.6083126522598832,0.14550304716137852
t,lh,h,26,58,0.7176233235362314,0.11708081397144916
t,lh,h,27,42,0.7695045094806119,0.14960572815963358
t,lh,h,28,74,0.5809335166112932,0.15291303201386547
t,lh,l,01,33,0.7817122977989074,0.19276857669612799
t,lh,l,02,48,0.3234184741172612,0.1239357248556502
t,lh,l,03,52,0.5929417693006983,0.13785468299081632
t,lh,l,04,36,0.6440711826997408,0.12888649466308966
t,lh,l,05,56,0.6200684694044379,0.19052812326251706
t,lh,l,07,62,0.49388649857743044,0.09271529814346206
t,lh,l,08,55,0.4393318681641838,0.1460777649515504
t,lh,l,09,42,0.5295887578026633,0.11337009432966656
t,lh,l,10,59,0.743266206277856,0.14849068296447396
t,lh,l,11,48,0.647982634284034,0.19113006897525514
t,lh,l,12,51,0.6837774361171315,0.13034693376407291
t,lh,l,13,45,0.5963186775720007,0.1213586597764995
t,lh,l,14,48,0.7010076760396752,0.17908796462714194
t,lh,l,15,36,0.6116616961983001,0.11435393484440198
t,lh,l,16,40,0.6004584579245147,0.14677911961906712
t,lh,l,17,38,0.668568172407456,0.18560818403511561
t,lh,l,18,52,0.6788811416061855,0.19754799892625627
t,lh,l,19,52,0.7422683607671318,0.13672981046220586
t,lh,l,20,53,0.7842276852271459,0.16051747392294652
t,lh,l,21,49,0.6035047590940682,0.1715883882191458
t,lh,l,22,61,0.3772156816939671,0.07526353721778012
t,lh,l,23,50,0.7122260112475487,0.10856725342208047
t,lh,l,24,65,0.645183586181016,0.10182833905367998
t,lh,l,25,68,0.6166944733306403,0.16751024660130454
t,lh,l,26,41,0.735412349162333,0.11755608164929325
t,lh,l,27,55,0.788269592457271,0.16252308784991346
t,lh,l,28,25,0.5615100266580703,0.13360614468982127
t,lh,n,01,4,,
t,lh,n,02,1,,
t,lh,n,03,1,,
t,lh,n,05,1,,
t,lh,n,11,3,,
t,lh,n,12,2,,
t,lh,n,15,1,,
t,lh,n,16,1,,
t,lh,n,17,1,,
t,lh,n,18,1,,
t,lh,n,20,1,,
t,lh,n,21,2,,
t,lh,n,24,1,,
t,lh,n,26,1,,
t,lh,n,27,3,,
t,lh,n,28,1,,
t,lm,l,01,44,0.7739997328597031,0.18147322834262414
t,lm,l,02,56,0.3598532194517767,0.14055891531894857
t,lm,l,03,48,0.5857838042168927,0.12723279613878
t,lm,l,04,40,0.6462488892238867,0.16433840506974196
t,lm,l,05,46,0.6360608711552429,0.19029571445778592
t,lm,l,07,58,0.5165141385747073,0.09851879342245642
t,lm,l,08,42,0.42463569650657346,0.17188445808110148
t,lm,l,09,57,0.5512934843322191,0.133612862751528
t,lm,l,10,51,0.7474658384144633,0.14008262727643062
t,lm,l,11,54,0.6663006848698051,0.1969607650069479
t,lm,l,12,60,0.6689550821373511,0.11745358868427978
t,lm,l,13,59,0.5959702959453044,0.09562426514107658
t,lm,l,14,51,0.6967813868552684,0.1954381121199277
t,lm,l,15,52,0.651714493410474,0.109213737972766
t,lm,l,16,53,0.6107111912518138,0.12462857378623776
t,lm,l,17,36,0.63934637029686,0.17339186072726384
t,lm,l,18,52,0.6830029024912829,0.21360969530973328
t,lm,l,19,47,0.7581800496017751,0.13000135940060945
t,lm,l,20,42,0.7667678108748316,0.13944470157479918
t,lm,l,21,44,0.621376690078457,0.18445103202070742
t,lm,l,22,54,0.3587660443944414,0.052783068957578304
t,lm,l,23,40,0.692780236366616,0.12389188828315788
t,lm,l,24,58,0.621287144432025,0.11294649742971374
t,lm,l,25,60,0.581207246373621,0.10385558591557961
t,lm,l,26,47,0.7489808831363761,0.14888291737794518
t,lm,l,27,55,0.7255885589275171,0.1498710960392689
t,lm,l,28,31,0.6420875128519143,0.19353820450488565
t,lm,m,01,51,0.8299729916379072,0.1606167843020147
t,lm,m,02,44,0.3410924947264572,0.15105655218044434
t,lm,m,03,51,0.6529459255945018,0.18371251109510967
t,lm,m,04,60,0.6423864548947298,0.13143472075580154
t,lm,m,05,52,0.6151922207056416,0.1850509477257917
t,lm,m,07,42,0.5166218254709986,0.08969746542075317
t,lm,m,08,58,0.4177490689313219,0.15366563450989676
t,lm,m,09,43,0.5864351202956662,0.09680835225363056
t,lm,m,10,49,0.7642608557591525,0.16912440681955435
t,lm,m,11,44,0.7272254089541857,0.22764858724314468
t,lm,m,12,39,0.7015897573097997,0.1443194994487219
t,lm,m,13,41,0.6293418095128467,0.1324230850196857
t,lm,m,14,49,0.7216669851442967,0.19902221373196485
t,lm,m,15,47,0.6452823907094423,0.11910640769030705
t,lm,m,16,46,0.5857061825784157,0.11301166937407262
t,lm,m,17,64,0.6398753610226322,0.16250512883897472
t,lm,m,18,46,0.6588023627249165,0.19411244364360594
t,lm,m,19,51,0.7777570954938567,0.11763621709510509
t,lm,m,20,56,0.7867215459161555,0.14967221908507405
t,lm,m,21,54,0.6209024972989331,0.20179073710988477
t,lm,m,22,45,0.37582378146139994,0.06864828586420794
t,lm,m,23,59,0.7146857765911915,0.1353632857824341
t,lm,m,24,42,0.6544264140185467,0.10095386870156539
t,lm,m,25,40,0.6216421033488586,0.13790559177147202
t,lm,m,26,53,0.7352654881475966,0.14149750050364632
t,lm,m,27,41,0.7400872533798087,0.1385595139991959
t,lm,m,28,69,0.5600833498741639,0.1513080087785896
t,lm,n,01,5,,
t,lm,n,03,1,,
t,lm,n,05,2,,
t,lm,n,11,2,,
t,lm,n,12,1,,
t,lm,n,15,1,,
t,lm,n,16,1,,
t,lm,n,18,2,,
t,lm,n,19,2,,
t,lm,n,20,2,,
t,lm,n,21,2,,
t,lm,n,22,1,,
t,lm,n,23,1,,
t,lm,n,27,4,,
t,mh,h,01,62,0.7798985262677507,0.1944987405407077
t,mh,h,02,49,0.3549939699091459,0.16288695508105824
t,mh,h,03,46,0.6070168199145448,0.15465607197643413
t,mh,h,04,56,0.6356734636918547,0.1394811597234421
t,mh,h,05,43,0.6703097982477461,0.17770129635692836
t,mh,h,07,41,0.5144847771834088,0.11519173033788085
t,mh,h,08,57,0.4702321822165176,0.14894158308859415
t,mh,h,09,52,0.5502826780709886,0.13575804626955634
t,mh,h,10,50,0.7684921392369142,0.1355481901144274
t,mh,h,11,57,0.6380132031137388,0.17060465769351463
t,mh,h,12,59,0.6626217755480666,0.13102737753099988
t,mh,h,13,59,0.6185001609800165,0.1112308925867373
