condition,type,response,ppn,response_size,RT_mean,RT_std
t,mh,h,14,47,0.7096380950369109,0.1631205154625203
t,mh,h,15,68,0.6341013867452014,0.11085395726318703
t,mh,h,16,57,0.5637870834066953,0.1300343508483938
t,mh,h,17,55,0.6790260732665377,0.19574949643961964
t,mh,h,18,39,0.683683765347665,0.17102701273802395
t,mh,h,19,50,0.743875953622919,0.15458907092339966
t,mh,h,20,45,0.8042915645893117,0.13979675567836672
t,mh,h,21,43,0.6085389591714565,0.14749655183302873
t,mh,h,22,51,0.36746545043769957,0.07710547121822567
t,mh,h,23,46,0.7264932728573078,0.12786538916278165
t,mh,h,24,52,0.6700207480311152,0.11334028495646205
t,mh,h,25,53,0.5956976101871027,0.11898024443413646
t,mh,h,26,49,0.747092710542644,0.11012514867287299
t,mh,h,27,53,0.7744286082043063,0.1811485754893982
t,mh,h,28,55,0.5591159462095344,0.16663124847314612
t,mh,m,01,35,0.8374657486849433,0.18081064829304638
t,mh,m,02,51,0.35440800157562524,0.13572981737869683
t,mh,m,03,53,0.640980462144484,0.12653126757642486
t,mh,m,04,44,0.6427599857563977,0.13943056350730026
t,mh,m,05,56,0.6378384401152094,0.21331278342312704
t,mh,m,07,59,0.480938838954359,0.09434681896470301
t,mh,m,08,43,0.42927801284540057,0.1559275590019486
t,mh,m,09,48,0.591639041635176,0.15361487659748774
t,mh,m,10,49,0.7668449326490506,0.1371884416890516
t,mh,m,11,41,0.6217750052333862,0.1510598561707095
t,mh,m,12,40,0.6736268865574857,0.10638865573532541
t,mh,m,13,41,0.633461460810062,0.09500594289851778
t,mh,m,14,51,0.7242692242349292,0.1821826609613137
t,mh,m,15,30,0.6293151939134987,0.10154001054235492
t,mh,m,16,43,0.5889752997272173,0.12121735723068455
t,mh,m,17,43,0.6426627326103234,0.17127933091015665
t,mh,m,18,60,0.6653442465845122,0.15681817763654382
t,mh,m,19,48,0.7683580396202766,0.13132855764499105
t,mh,m,20,54,0.7685660268810992,0.14612320293598957
t,mh,m,21,54,0.5510087492141085,0.13269433266628847
t,mh,m,22,49,0.3755879297624437,0.06637920800706565
t,mh,m,23,54,0.7494005938158942,0.11658573583244251
t,mh,m,24,48,0.6488551465160223,0.09234192632368443
t,mh,m,25,47,0.6185343385100652,0.13223663928618629
t,mh,m,26,51,0.7249912551672905,0.14021257844263807
t,mh,m,27,45,0.7980554851583697,0.17658640240692616
t,mh,m,28,44,0.5875698728086718,0.17750324091799755
t,mh,n,01,3,,
t,mh,n,03,1,,
t,mh,n,05,1,,
t,mh,n,10,1,,
t,mh,n,11,2,,
t,mh,n,12,1,,
t,mh,n,14,2,,
t,mh,n,15,2,,
t,mh,n,17,2,,
t,mh,n,18,1,,
t,mh,n,19,2,,
t,mh,n,20,1,,
t,mh,n,21,3,,
t,mh,n,27,2,,
t,mh,n,28,1,,
