ppn,phase,condition,response,reward,count,sum,percent,group
43,t,lh,h,1,45,98,45.91836734693878,lhh
43,t,lh,l,5,53,98,54.08163265306123,lhl
43,t,lm,l,5,56,100,56.00000000000001,lml
43,t,lm,m,3,44,100,44.0,lmm
43,t,mh,h,1,54,99,54.54545454545454,mhh
43,t,mh,m,3,45,99,45.45454545454545,mhm
44,c,lh,h,1,54,99,54.54545454545454,lhh
44,c,lh,l,3,45,99,45.45454545454545,lhl
44,c,lm,l,3,46,99,46.464646464646464,lml
44,c,lm,m,5,53,99,53.535353535353536,lmm
44,c,mh,h,1,56,100,56.00000000000001,mhh
44,c,mh,m,5,44,100,44.0,mhm
44,lr,h,1,1,94,100,94.0,h1
44,lr,l,3,3,99,100,99.0,l3
44,lr,m,5,5,97,100,97.0,m5
44,t,lh,h,1,60,99,60.60606060606061,lhh
44,t,lh,l,3,39,99,39.39393939393939,lhl
44,t,lm,l,3,47,100,47.0,lml
44,t,lm,m,5,53,100,53.0,lmm
44,t,mh,h,1,58,100,57.99999999999999,mhh
44,t,mh,m,5,42,100,42.0,mhm
