ppn,phase,condition,response,reward,count,sum,percent,group
11,c,mh,m,5,48,97,49.48453608247423,mhm
11,lr,h,3,3,95,100,95.0,h3
11,lr,l,1,1,94,100,94.0,l1
11,lr,m,5,5,99,100,99.0,m5
11,t,lh,h,3,49,97,50.51546391752577,lhh
11,t,lh,l,1,48,97,49.48453608247423,lhl
11,t,lm,l,1,54,98,55.10204081632652,lml
11,t,lm,m,5,44,98,44.89795918367347,lmm
11,t,mh,h,3,57,98,58.16326530612245,mhh
11,t,mh,m,5,41,98,41.83673469387755,mhm
12,c,lh,h,5,54,99,54.54545454545454,lhh
12,c,lh,l,1,45,99,45.45454545454545,lhl
12,c,lm,l,1,46,100,46.0,lml
12,c,lm,m,3,54,100,54.0,lmm
12,c,mh,h,5,52,100,52.0,mhh
12,c,mh,m,3,48,100,48.0,mhm
12,lr,h,5,5,92,98,93.87755102040816,h5
12,lr,l,1,1,97,98,98.9795918367347,l1
12,lr,m,3,3,96,100,96.0,m3
12,t,lh,h,5,47,98,47.95918367346938,lhh
12,t,lh,l,1,51,98,52.04081632653062,lhl
12,t,lm,l,1,60,99,60.60606060606061,lml
12,t,lm,m,3,39,99,39.39393939393939,lmm
12,t,mh,h,5,59,99,59.59595959595959,mhh
12,t,mh,m,3,40,99,40.4040404040404,mhm
13,c,lh,h,1,50,100,50.0,lhh
13,c,lh,l,5,50,100,50.0,lhl
13,c,lm,l,5,50,100,50.0,lml
13,c,lm,m,3,50,100,50.0,lmm
13,c,mh,h,1,47,98,47.95918367346938,mhh
13,c,mh,m,3,51,98,52.04081632653062,mhm
13,lr,h,1,1,92,99,92.92929292929293,h1
13,lr,l,5,5,95,99,95.95959595959596,l5
13,lr,m,3,3,97,100,97.0,m3
13,t,lh,h,1,55,100,55.00000000000001,lhh
13,t,lh,l,5,45,100,45.0,lhl
13,t,lm,l,5,59,100,59.0,lml
13,t,lm,m,3,41,100,41.0,lmm
13,t,mh,h,1,59,100,59.0,mhh
13,t,mh,m,3,41,100,41.0,mhm
14,c,lh,h,3,51,100,51.0,lhh
14,c,lh,l,5,49,100,49.0,lhl
14,c,lm,l,5,53,100,53.0,lml
14,c,lm,m,1,47,100,47.0,lmm
14,c,mh,h,3,53,100,53.0,mhh
14,c,mh,m,1,47,100,47.0,mhm
14,lr,h,3,3,88,99,88.88888888888889,h3
14,lr,l,5,5,95,99,95.95959595959596,l5
14,lr,m,1,1,92,100,92.0,m1
14,t,lh,h,3,52,100,52.0,lhh
14,t,lh,l,5,48,100,48.0,lhl
14,t,lm,l,5,51,100,51.0,lml
14,t,lm,m,1,49,100,49.0,lmm
14,t,mh,h,3,47,98,47.95918367346938,mhh
14,t,mh,m,1,51,98,52.04081632653062,mhm
15,c,lh,h,1,62,94,65.95744680851064,lhh
15,c,lh,l,3,32,94,34.04255319148936,lhl
15,c,lm,l,3,52,98,53.06122448979592,lml
15,c,lm,m,5,46,98,46.93877551020408,lmm
15,c,mh,h,1,59,99,59.59595959595959,mhh
15,c,mh,m,5,40,99,40.4040404040404,mhm
15,lr,h,1,1,92,100,92.0,h1
15,lr,l,3,3,94,100,94.0,l3
15,lr,m,5,5,97,100,97.0,m5
15,t,lh,h,1,63,99,63.63636363636363,lhh
15,t,lh,l,3,36,99,36.36363636363637,lhl
15,t,lm,l,3,52,99,52.52525252525253,lml
15,t,lm,m,5,47,99,47.474747474747474,lmm
15,t,mh,h,1,68,98,69.38775510204081,mhh
15,t,mh,m,5,30,98,30.612244897959183,mhm
16,c,lh,h,5,58,99,58.58585858585859,lhh
16,c,lh,l,3,41,99,41.41414141414141,lhl
16,c,lm,l,3,38,100,38.0,lml
16,c,lm,m,1,62,100,62.0,lmm
16,c,mh,h,5,51,100,51.0,mhh
16,c,mh,m,1,49,100,49.0,mhm
16,lr,h,5,5,94,99,94.94949494949495,h5
16,lr,l,3,3,91,99,91.91919191919192,l3
16,lr,m,1,1,92,99,92.92929292929293,m1
