phase,trial_nr,key,time,img_l,img_r,reward,tot_reward
control,0,,,im_128.jpg,im_2709.jpg,0.0,0.0
control,1,slash,0.5812855809926987,im_5044.jpg,im_7778.jpg,0.0,0.0
control,2,,,im_5535.jpg,im_5569.jpg,0.0,0.0
control,3,,,im_5252.jpg,im_7347.jpg,0.0,0.0
control,4,,,im_4557.jpg,im_4055.jpg,0.0,0.0
learning,0,,,images/im_3705.jpg,,0,0.0
learning,1,,,images/im_3757.jpg,,0,0.0
learning,2,,,images/im_1216.jpg,,0,0.0
learning,3,,,images/im_6733.jpg,,0,0.0
learning,4,,,images/im_3209.jpg,,0,0.0
test,0,,,im_3428.jpg,im_5750.jpg,0.0,0.0
test,1,,,im_476.jpg,im_5236.jpg,0.0,0.0
test,2,,,im_6246.jpg,im_797.jpg,0.0,0.0
test,3,,,im_7519.jpg,im_4413.jpg,0.0,0.0
test,4,,,im_7535.jpg,im_5363.jpg,0.0,0.0
