phase,trial_nr,key,time,img_l,img_r,reward,tot_reward
control,0,slash,0.5021446150058182,im_6744.jpg,im_797.jpg,0.0,0.0
control,1,slash,0.48507850400346797,im_655.jpg,im_4128.jpg,0.0,0.0
control,2,slash,0.3492495800019242,im_2332.jpg,im_2277.jpg,0.0,0.0
control,3,slash,0.2662810430047102,im_6072.jpg,im_5010.jpg,0.0,0.0
control,4,slash,0.29839603300206363,im_8190.jpg,im_4131.jpg,0.0,0.0
learning,0,slash,0.3245986459951382,images/im_5496.jpg,,5,5.0
learning,1,z,0.8322449870029232,images/im_592.jpg,,0,5.0
learning,2,slash,0.6359046169964131,images/im_7045.jpg,,0,5.0
learning,3,slash,0.6377401149948128,images/im_4109.jpg,,0,5.0
learning,4,z,0.4938713209994603,images/im_4442.jpg,,0,5.0
test,0,,,im_3705.jpg,im_2546.jpg,0.0,5.0
test,1,slash,0.45598782200249843,im_128.jpg,im_3287.jpg,0.0,5.0
test,2,z,0.5127981979894685,im_4656.jpg,im_4186.jpg,0.0,5.0
test,3,slash,0.439544177002972,im_6152.jpg,im_7726.jpg,0.0,5.0
test,4,z,0.538163272998645,im_241.jpg,im_5662.jpg,0.0,5.0
