phase,trial_nr,key,time,img_l,img_r,reward,tot_reward
control,0,slash,0.5391578674316406,im_3117.jpg,im_1209.jpg,0,0
control,1,slash,0.9805469512939453,im_2071.jpg,im_5704.jpg,0,0
control,2,,,im_371.jpg,im_5583.jpg,0,0
control,3,slash,0.6408650875091553,im_7027.jpg,im_5194.jpg,0,0
control,4,,,im_3512.jpg,im_17.jpg,0,0
control,5,slash,0.45062780380249023,im_3447.jpg,im_1361.jpg,0,0
control,6,,,im_4354.jpg,im_4781.jpg,0,0
control,7,z,0.8774569034576416,im_5437.jpg,im_268.jpg,0,0
control,8,slash,0.5310859680175781,im_3059.jpg,im_2655.jpg,0,0
control,9,slash,0.8550670146942139,im_7674.jpg,im_7132.jpg,0,0
learning,0,,,images/im_2420.jpg,,0,0
learning,1,z,0.7156000137329102,images/im_2623.jpg,,0,0
learning,2,slash,0.8153109550476074,images/im_3532.jpg,,0,1
learning,3,z,0.7690200805664062,images/im_7505.jpg,,0,1
learning,4,slash,0.6491990089416504,images/im_5653.jpg,,0,3
learning,5,slash,0.8620409965515137,images/im_2461.jpg,,0,3
learning,6,,,images/im_4165.jpg,,0,3
learning,7,slash,0.8475148677825928,images/im_6646.jpg,,0,3
learning,8,z,0.9004800319671631,images/im_8104.jpg,,0,3
learning,9,slash,0.603769063949585,images/im_7793.jpg,,0,3
test,0,,,im_5062.jpg,im_6403.jpg,0,3
test,1,slash,0.30877113342285156,im_128.jpg,im_2436.jpg,0,3
test,2,slash,0.5377960205078125,im_7394.jpg,im_6133.jpg,0,3
test,3,slash,0.7499010562896729,im_8188.jpg,im_5537.jpg,0,3
test,4,slash,0.33636999130249023,im_4087.jpg,im_7303.jpg,0,3
test,5,z,0.5794970989227295,im_3204.jpg,im_260.jpg,0,3
test,6,slash,0.7099180221557617,im_6340.jpg,im_1714.jpg,0,3
test,7,slash,0.8658699989318848,im_4617.jpg,im_4176.jpg,0,3
test,8,z,0.7212338447570801,im_1587.jpg,im_5166.jpg,0,3
test,9,slash,0.6294939517974854,im_5197.jpg,im_528.jpg,0,3
