phase,trial_nr,key,time,img_l,img_r,reward,tot_reward
control,0,slash,0.6741470840061083,im_3106.jpg,im_1374.jpg,0.0,5.0
control,1,slash,0.8167818570218515,im_1430.jpg,im_5062.jpg,0.0,5.0
control,2,slash,0.7279401019914076,im_128.jpg,im_2598.jpg,0.0,5.0
control,3,slash,0.8115849699825048,im_4754.jpg,im_7140.jpg,0.0,5.0
control,4,z,0.6197385620034765,im_272.jpg,im_251.jpg,0.0,5.0
learning,0,slash,0.7676584199944045,images/im_293.jpg,,3,8.0
learning,1,z,0.7430526340031065,images/im_528.jpg,,0,8.0
learning,2,slash,0.6714338729798328,images/im_5569.jpg,,5,13.0
learning,3,slash,0.9859338340174872,images/im_8195.jpg,,1,14.0
learning,4,slash,0.8794125230051577,images/im_1119.jpg,,5,19.0
test,0,z,0.9549903809966054,im_3360.jpg,im_2002.jpg,0.0,19.0
test,1,slash,0.6625197349931113,im_371.jpg,im_52.jpg,0.0,19.0
test,2,slash,0.8923071220051497,im_6170.jpg,im_6451.jpg,0.0,19.0
test,3,z,0.7539446740120184,im_5558.jpg,im_3237.jpg,0.0,19.0
test,4,z,0.8679002650023904,im_4548.jpg,im_7674.jpg,0.0,19.0
