phase,trial_nr,key,time,img_l,img_r,reward,tot_reward
control,0,,,im_3489.jpg,im_3199.jpg,0.0,5.0
control,1,slash,0.6813640594482422,im_7769.jpg,im_7356.jpg,0.0,5.0
control,2,slash,0.7662570476531982,im_6072.jpg,im_4236.jpg,0.0,5.0
control,3,slash,0.6715259552001953,im_7364.jpg,im_441.jpg,0.0,5.0
control,4,slash,0.7973809242248535,im_3272.jpg,im_1268.jpg,0.0,5.0
learning,0,slash,0.7038569450378418,images/im_1298.jpg,,3,8.0
learning,1,slash,1.0034959316253662,images/im_5512.jpg,,3,11.0
learning,2,slash,0.7792041301727295,images/im_2672.jpg,,5,16.0
learning,3,slash,0.882692813873291,images/im_3693.jpg,,5,21.0
learning,4,z,0.633004903793335,images/im_7180.jpg,,0,21.0
test,0,z,1.0123538970947266,im_2436.jpg,im_5798.jpg,0.0,21.0
test,1,slash,0.7890269756317139,im_5411.jpg,im_2146.jpg,0.0,21.0
test,2,z,0.9351828098297119,im_3483.jpg,im_3488.jpg,0.0,21.0
test,3,slash,0.7152528762817383,im_6599.jpg,im_7650.jpg,0.0,21.0
test,4,z,0.9510688781738281,im_2025.jpg,im_1381.jpg,0.0,21.0
