phase,trial_nr,key,time,img_l,img_r,reward,tot_reward
control,0,slash,0.6791529655456543,im_6016.jpg,im_7306.jpg,0,0
control,1,slash,0.3280789852142334,im_187.jpg,im_5564.jpg,0,0
control,2,slash,0.29062795639038086,im_6792.jpg,im_586.jpg,0,0
control,3,slash,0.023496150970458984,im_8016.jpg,im_1250.jpg,0,0
control,4,slash,0.2793090343475342,im_6418.jpg,im_4475.jpg,0,0
control,5,slash,0.2438828945159912,im_1232.jpg,im_38.jpg,0,0
control,6,slash,0.22664999961853027,im_7698.jpg,im_4604.jpg,0,0
control,7,slash,0.2423698902130127,im_2745.jpg,im_8024.jpg,0,0
control,8,slash,0.25058698654174805,im_1620.jpg,im_4442.jpg,0,0
control,9,slash,0.2801530361175537,im_5445.jpg,im_2397.jpg,0,0
learning,0,slash,0.2978048324584961,images/im_7180.jpg,,0,0
learning,1,slash,0.3770020008087158,images/im_5512.jpg,,0,2
learning,2,slash,0.8461968898773193,images/im_3615.jpg,,0,3
learning,3,,,images/im_4733.jpg,,0,3
learning,4,,,images/im_120.jpg,,0,3
learning,5,slash,0.8277890682220459,images/im_4333.jpg,,0,3
learning,6,slash,0.9522159099578857,images/im_4715.jpg,,0,3
learning,7,slash,0.7188348770141602,images/im_390.jpg,,0,5
learning,8,slash,0.8044641017913818,images/im_2516.jpg,,0,6
learning,9,slash,0.7113668918609619,images/im_555.jpg,,0,6
test,0,slash,0.9124870300292969,im_2004.jpg,im_2025.jpg,0,6
test,1,slash,0.8863489627838135,im_3658.jpg,im_5589.jpg,0,6
test,2,slash,0.25134706497192383,im_5167.jpg,im_5204.jpg,0,6
test,3,slash,0.2655301094055176,im_7465.jpg,im_4700.jpg,0,6
test,4,slash,0.1431119441986084,im_1358.jpg,im_1353.jpg,0,6
test,5,slash,0.24149513244628906,im_7541.jpg,im_5267.jpg,0,6
test,6,slash,0.04173088073730469,im_5628.jpg,im_3146.jpg,0,6
test,7,slash,0.5040280818939209,im_82.jpg,im_2733.jpg,0,6
test,8,slash,0.21251606941223145,im_2356.jpg,im_5660.jpg,0,6
test,9,slash,0.43706202507019043,im_2170.jpg,im_3144.jpg,0,6
