phase,trial_nr,key,time,img_l,img_r
1,0,,,im_1763.jpg,im_5166.jpg
1,1,slash,0.5212295380006253,im_2121.jpg,im_2340.jpg
1,2,slash,0.4511540290004632,im_2165.jpg,im_2520.jpg
1,3,slash,0.3561777800005075,im_2025.jpg,im_5076.jpg
1,4,slash,0.30281942500005243,im_2107.jpg,im_2311.jpg
1,5,slash,0.35331827100162627,im_176.jpg,im_5615.jpg
1,6,slash,0.7299658699994325,im_6177.jpg,im_5628.jpg
1,7,,,im_5704.jpg,im_5406.jpg
1,8,slash,0.787301029999071,im_6046.jpg,im_498.jpg
1,9,z,0.5834199099990656,im_342.jpg,im_144.jpg
